Sample,Latitude,Longitude,Date,Time,Site,Location,Status,Depth,Observer.count,Successful.count,Successful.length,Observer.length
IO378,-33.99368897,114.6388721,20201023,12:04:00,C.IO.26,South-west,Fished,141,Rachel,Yes,Yes,Claude
IOC04,-34.08755,114.749265,20201022,13:16:00,C.IO.12,South-west,No-take,109,Rachel,Yes,Yes,Claude
IOC05,-34.05394,114.899843,20201029,10:46:00,C.IO.3,South-west,No-take,43.2,Rachel,Yes,Yes,Claude
IO49,-34.06118897,114.7063721,20201023,6:59:00,C.IO.34,South-west,No-take,129,Rachel,Yes,Yes,Brooke Gibbons
IO100,-34.07618897,114.9088721,20201029,10:21:00,C.IO.39,South-west,No-take,43.6,Rachel,Yes,Yes,Brooke Gibbons
IO109,-34.05618897,114.6738721,20201023,9:57:00,C.IO.30,South-west,No-take,138,Rachel,Yes,Yes,Brooke Gibbons
IO117,-34.06368897,114.7388721,20201023,7:25:00,C.IO.31,South-west,No-take,115,Rachel,Yes,Yes,Brooke Gibbons
IO119,-34.07618897,114.9038721,20201029,10:17:00,C.IO.39,South-west,No-take,43.8,Rachel,Yes,Yes,Brooke Gibbons
IO191,-33.99868897,114.6713721,20201023,12:20:00,C.IO.40,South-west,Fished,137,Rachel,Yes,Yes,Brooke Gibbons
IO194,-33.99618897,114.6638721,20201023,12:24:00,C.IO.40,South-west,Fished,139,Rachel,Yes,Yes,Brooke Gibbons
IO294,-34.08368897,114.7538721,20201022,13:04:00,C.IO.12,South-west,No-take,114,Rachel,Yes,Yes,Brooke Gibbons
IO282,-34.14618897,114.5438721,20201029,7:20:00,C.IO.18,South-west,No-take,146,,No,No,
IO298,-34.07618897,114.6713721,20201023,9:39:00,C.IO.14,South-west,No-take,138,Rachel,Yes,Yes,Brooke Gibbons
IO299,-34.08118897,114.6763721,20201023,9:32:00,C.IO.14,South-west,No-take,139,Rachel,Yes,Yes,Brooke Gibbons
IO313,-34.09618897,114.7563721,20201022,12:47:00,C.IO.11,South-west,No-take,108,Rachel,Yes,Yes,Brooke Gibbons
IO324,-34.00006,114.639778,20201023,11:59:00,C.IO.26,South-west,Fished,141,Rachel,Yes,Yes,Brooke Gibbons
IO329,-34.06481667,114.7266333,20201023,7:18:00,C.IO.13,South-west,No-take,121,Rachel,Yes,Yes,Brooke Gibbons
IO331,-34.0984,114.75005,20201022,12:30:00,C.IO.11,South-west,No-take,112,Rachel,Yes,Yes,Brooke Gibbons
IO343,-34.10261667,114.6407167,20201123,7:38:00,C.IO.15,South-west,No-take,140,Rachel,Yes,Yes,Claude
IO352,-34.03618897,114.5988721,20201123,9:43:00,C.IO.27,South-west,Fished,133,Rachel,Yes,Yes,Claude
IO369,-34.02868897,114.5913721,20201123,10:08:00,C.IO.27,South-west,Fished,133,Rachel,Yes,Yes,Claude
IO71,-34.00368897,114.6988721,20201123,12:31:00,C.IO.41,South-west,Fished,121,Rachel,Yes,Yes,Claude
IO148,-34.01118897,114.5963721,20201123,10:31:00,C.IO.46,South-west,Fished,140,Rachel,Yes,Yes,Claude
IO254,-34.01868897,114.6963721,20201123,12:10:00,C.IO.49,South-west,Fished,119,Rachel,Yes,Yes,Claude
IO276,-34.10118897,114.6363721,20201123,7:34:00,C.IO.15,South-west,No-take,140,Rachel,Yes,Yes,Claude
IO326,-34.00425,114.6892833,20201123,12:26:00,C.IO.24,South-west,Fished,121,,No,No,
IO349,-34.02368897,114.5963721,20201123,10:03:00,C.IO.27,South-west,Fished,133,Rachel,Yes,Yes,Claude
IO379,-34.08368897,114.6813721,20201123,6:58:00,C.IO.14,South-west,No-take,138,Rachel,Yes,Yes,Claude
IO306,-34.10118897,114.7338721,20201022,10:29:00,C.IO.10,South-west,No-take,124,Rachel ,Yes,Yes,Claude
FH55,-33.92368897,114.9088721,20201029,12:52:00,C.FH.20,South-west,Fished,44.9,Rachel ,Yes,Yes,Claude
IOC06,-34.048689,114.876372,20201016,7:48:00,C.IO.65,South-west,Fished,41.5,Ramesh,Yes,Yes,Claude
FH69,-33.69618897,114.8038721,20201012,10:43:00,C.FH.4,South-west,Fished,46.9,Ramesh,Yes,Yes,Claude
