"","synonym","genus","species","unacceptreason","scientific","genus_correct","species_correct","family","family_correct"
"164","Glyphisodon geant","Glyphisodon","geant",NA,"Abudefduf sordidus","Abudefduf","sordidus","Pomacentridae","Pomacentridae"
"165","Glyphisodon géant","Glyphisodon","géant",NA,"Abudefduf sordidus","Abudefduf","sordidus","Pomacentridae","Pomacentridae"
"166","Glyphisodon gigas","Glyphisodon","gigas",NA,"Abudefduf sordidus","Abudefduf","sordidus","Pomacentridae","Pomacentridae"
"167","Glyphisodon sordidus","Glyphisodon","sordidus",NA,"Abudefduf sordidus","Abudefduf","sordidus","Pomacentridae","Pomacentridae"
"168","Glyphidodon sparoides","Glyphidodon","sparoides",NA,"Abudefduf sparoides","Abudefduf","sparoides","Pomacentridae","Pomacentridae"
"169","Glyphisodon sparoides","Glyphisodon","sparoides",NA,"Abudefduf sparoides","Abudefduf","sparoides","Pomacentridae","Pomacentridae"
"170","Pomacentrus zanzibarensis","Pomacentrus","zanzibarensis",NA,"Abudefduf sparoides","Abudefduf","sparoides","Pomacentridae","Pomacentridae"
"171","Abudefduf analogus","Abudefduf","analogus",NA,"Abudefduf taurus","Abudefduf","taurus","Pomacentridae","Pomacentridae"
"172","Euchistodus analogus","Euchistodus","analogus",NA,"Abudefduf taurus","Abudefduf","taurus","Pomacentridae","Pomacentridae"
"173","Glyphidodon taurus","Glyphidodon","taurus","misspelling","Abudefduf taurus","Abudefduf","taurus","Pomacentridae","Pomacentridae"
"174","Glyphisodon taurus","Glyphisodon","taurus",NA,"Abudefduf taurus","Abudefduf","taurus","Pomacentridae","Pomacentridae"
"175","Nexilarius taurus","Nexilarius","taurus",NA,"Abudefduf taurus","Abudefduf","taurus","Pomacentridae","Pomacentridae"
"176","Glyphidodon troschelii","Glyphidodon","troschelii",NA,"Abudefduf troschelii","Abudefduf","troschelii","Pomacentridae","Pomacentridae"
"177","Abudefduf caudobimaculatus","Abudefduf","caudobimaculatus",NA,"Abudefduf vaigiensis","Abudefduf","vaigiensis","Pomacentridae","Pomacentridae"
"178","Abudefduf quinquelineatus","Abudefduf","quinquelineatus","misspelling","Abudefduf vaigiensis","Abudefduf","vaigiensis","Pomacentridae","Pomacentridae"
"179","Abudefduf quinquilineatus","Abudefduf","quinquilineatus",NA,"Abudefduf vaigiensis","Abudefduf","vaigiensis","Pomacentridae","Pomacentridae"
"180","Abudefduf vaigensis","Abudefduf","vaigensis","misspelling","Abudefduf vaigiensis","Abudefduf","vaigiensis","Pomacentridae","Pomacentridae"
"181","Abudefduf vargensis","Abudefduf","vargensis","misspelling","Abudefduf vaigiensis","Abudefduf","vaigiensis","Pomacentridae","Pomacentridae"
"182","Abudefdus vaigiensis","Abudefdus","vaigiensis","misspelling","Abudefduf vaigiensis","Abudefduf","vaigiensis","Pomacentridae","Pomacentridae"
"183","Chaetodon tyrwhitti","Chaetodon","tyrwhitti",NA,"Abudefduf vaigiensis","Abudefduf","vaigiensis","Pomacentridae","Pomacentridae"
"184","Glyphisodon quadrifasciatus","Glyphisodon","quadrifasciatus",NA,"Abudefduf vaigiensis","Abudefduf","vaigiensis","Pomacentridae","Pomacentridae"
"185","Glyphisodon rahti","Glyphisodon","rahti",NA,"Abudefduf vaigiensis","Abudefduf","vaigiensis","Pomacentridae","Pomacentridae"
"186","Glyphisodon vaigiensis","Glyphisodon","vaigiensis",NA,"Abudefduf vaigiensis","Abudefduf","vaigiensis","Pomacentridae","Pomacentridae"
"187","Abyssocottus gibbosus subulatus","Abyssocottus","gibbosus subulatus","junior synonym","Abyssocottus gibbosus","Abyssocottus","gibbosus","Abyssocottidae","Abyssocottidae"
"188","Aleuterius brownii","Aleuterius","brownii",NA,"Acanthaluteres brownii","Acanthaluteres","brownii","Monacanthidae","Monacanthidae"
"189","Bigener brownii","Bigener","brownii",NA,"Acanthaluteres brownii","Acanthaluteres","brownii","Monacanthidae","Monacanthidae"
"190","Monacanthus castelnaui","Monacanthus","castelnaui","junior synonym","Acanthaluteres brownii","Acanthaluteres","brownii","Monacanthidae","Monacanthidae"
"191","Monacanthus lineoguttatus","Monacanthus","lineoguttatus","junior synonym","Acanthaluteres brownii","Acanthaluteres","brownii","Monacanthidae","Monacanthidae"
"192","Monacanthus yagoi","Monacanthus","yagoi","junior synonym","Acanthaluteres brownii","Acanthaluteres","brownii","Monacanthidae","Monacanthidae"
"193","Aleuteres maculosus","Aleuteres","maculosus","synonym","Acanthaluteres spilomelanurus","Acanthaluteres","spilomelanurus","Monacanthidae","Monacanthidae"
"194","Aleuteres paragaudatus","Aleuteres","paragaudatus",NA,"Acanthaluteres spilomelanurus","Acanthaluteres","spilomelanurus","Monacanthidae","Monacanthidae"
"195","Aluterus maculosus","Aluterus","maculosus",NA,"Acanthaluteres spilomelanurus","Acanthaluteres","spilomelanurus","Monacanthidae","Monacanthidae"
